"city","lon","lat","avg","Hazel","Ash","Cottonwood","Oak","Pine","Birch","Olive","Alder","Grasses","Ragweed","Mugwort"
"Zurich",8.5411,47.3744,1.5,0,0,0,1,1,1,1,1,4,0,0
"Geneva",6.1469,46.2017,1.5,0,0,0,1,1,1,1,1,4,0,0
"Basel",7.5906,47.5547,1.42857142857143,0,0,0,1,1,1,1,1,4,0,1
"Lausanne",6.6335,46.5198,1.5,0,0,0,1,1,1,1,1,4,0,0
"Bern",7.4475,46.9481,1.5,0,0,0,1,1,1,1,1,4,0,0
"Winterthur",8.7286,47.4989,1.5,0,0,0,1,1,1,1,1,4,0,0
"Lucerne",8.3,47.05,1.5,0,0,0,1,1,1,1,1,4,0,0
"Sankt Gallen",9.3708,47.4242,1.5,0,0,0,1,1,1,1,1,4,0,0
"Lugano",8.9525,46.005,1.28571428571429,0,1,0,1,1,1,1,1,3,0,0
"Biel/Bienne",7.25,47.1333,1.66666666666667,0,0,0,1,2,1,1,1,4,0,0
